timestamp,compass_y,compass_z,compass_x,gyro_y,reed_relay,object_temp,gyro_z,light,humidity,acc_z,ambient_temp,air_pressure,acc_y,acc_x
2019-04-26T18:07:06.767+05:30,-16.17,-91.67,-35.33,0.58,0,0,0.24,0.08,0,3.96,-40,648.91,-0.09,-0.18
2019-04-26T17:52:47.936+05:30,43.33,-26.33,-57.67,0.79,0,0,-2.02,0.24,30.84,3.94,32.61,648.29,0.07,-0.1
2019-04-26T18:07:07.767+05:30,-12.17,-89.83,-34.83,0.58,0,0,-2.3,0.08,0,3.94,-40,648.91,-0.06,-0.18
2019-04-26T17:52:48.936+05:30,44.17,-27.83,-57.17,0.98,0,0,0.04,0.24,30.84,3.87,32.61,648.35,-0.02,-0.12
2019-04-26T18:07:08.769+05:30,-14.17,-91.33,-34.17,-0.98,0,0,0.06,0.08,0,3.86,-40,648.91,-0.07,-0.16
2019-04-26T17:52:49.945+05:30,44.17,-27,-57.67,0.75,0,0,0.11,0.24,30.84,3.87,32.61,648.24,0,-0.11
2019-04-26T18:07:09.792+05:30,-14,-90.33,-35.5,0.55,0,0,-2.03,0.08,0,3.86,-40,648.91,-0.03,-0.2
2019-04-26T17:52:50.936+05:30,44,-27.67,-56.17,0.54,0,0,0.05,0.24,30.84,3.86,32.61,648.35,-0.02,-0.11
2019-04-26T18:07:10.778+05:30,-14.17,-89.83,-36.17,0.56,0,0,0.09,0.08,0,3.88,-40,648.91,-0.08,-0.18
2019-04-26T17:52:51.937+05:30,43.67,-26.83,-57,0.87,0,0,0.05,0.24,30.84,3.87,32.61,648.4,0.07,-0.11
2019-04-26T18:07:11.769+05:30,-14,-92.33,-36.67,0.73,0,0,-2.27,0.08,0,3.95,-40,648.91,-0.09,-0.17
2019-04-26T17:52:52.937+05:30,44.83,-27.67,-57.33,0.63,0,0,-2.11,0.24,30.84,3.87,32.62,648.22,0.07,-0.1
2019-04-26T18:07:12.770+05:30,-15.5,-91.5,-34.67,-0.8,0,0,-2.1,0.08,0,3.88,-40,648.91,-0.07,-0.16
2019-04-26T17:52:53.938+05:30,44.67,-26.33,-56.83,0.8,0,0,0.03,0.24,30.84,3.95,32.61,648.32,0,-0.1
2019-04-26T18:07:13.774+05:30,-15.17,-90.83,-35.17,0.96,0,0,-2.03,0.08,0,3.87,-40,648.91,-0.09,-0.18
2019-04-26T17:52:54.941+05:30,-0.5,-27,-58.33,0.85,0,0,-2.04,0.24,30.84,3.95,32.62,648.27,-0.01,-0.12
2019-04-26T18:07:14.770+05:30,-15.5,-90.83,-35.17,0.7,0,0,-2.02,0.08,0,3.88,-40,648.91,-0.03,-0.17
2019-04-26T17:52:55.944+05:30,44.33,-26.83,-57.33,0.73,0,0,-2.03,0.24,30.84,3.95,32.59,648.27,0.07,-0.11
2019-04-26T18:07:15.775+05:30,-15.17,-91.17,-35.5,0.8,0,0,0.17,0.08,0,3.85,-40,648.91,0,-0.17
2019-04-26T17:52:56.941+05:30,45.33,-27,-57.17,0.77,0,0,0.16,0.24,30.84,3.87,32.61,648.35,-0.01,-0.12
2019-04-26T18:07:16.772+05:30,-14.33,-90.33,-35.17,0.81,0,0,0.16,0.08,0,3.95,-40,648.91,-0.07,-0.17
2019-04-26T17:52:57.941+05:30,43.33,-26.33,-56.33,0.58,0,0,-2.01,0.24,30.84,3.94,32.61,648.24,-0.01,-0.19
2019-04-26T18:07:17.781+05:30,-14.33,-92,-34.33,0.83,0,0,0.02,0.08,0,3.87,-40,648.91,0,-0.17
2019-04-26T17:52:58.942+05:30,43.67,-26.83,-55.33,0.8,0,0,0.16,0.24,30.84,3.95,32.61,648.29,0.07,-0.11
2019-04-26T18:07:18.774+05:30,-14.5,-91.67,-36.5,0.62,0,0,0,0.08,0,3.96,-40,648.91,-0.05,-0.25
2019-04-26T17:52:59.958+05:30,44,-28,-55,0.66,0,0,-2.17,0.24,30.84,3.87,32.59,648.24,0.06,-0.1
2019-04-26T18:07:19.778+05:30,-13.17,-90.83,-35.83,0.8,0,0,0.27,0.08,0,3.86,-40,648.91,-0.07,-0.21
2019-04-26T17:53:00.944+05:30,44.67,-26.33,-58,0.84,0,0,0.08,0.24,30.84,3.94,32.61,648.29,-0.02,-0.1
2019-04-26T18:07:20.770+05:30,-13.83,-89.83,-36.5,0.91,0,0,0.16,0.08,0,3.85,-40,648.91,-0.04,-0.16
2019-04-26T17:53:01.945+05:30,45.67,-27.33,-56.17,0.75,0,0,-2.29,0.24,30.84,3.86,32.61,648.37,-0.01,-0.11
2019-04-26T18:07:21.769+05:30,-14.83,-89.67,-33.5,0.82,0,0,0.02,0.08,0,3.86,-40,648.91,-0.09,-0.26
2019-04-26T17:53:02.946+05:30,44,-26.17,-57.83,0.41,0,0,0.05,0.24,30.84,3.85,32.61,648.35,0.06,-0.1
2019-04-26T18:07:22.769+05:30,-13.5,-92.67,-36.33,0.76,0,0,0.28,0.08,0,3.85,-40,648.91,-0.06,-0.2
2019-04-26T17:53:03.954+05:30,44.67,-26.67,-57.17,0.84,0,0,0.09,0.24,30.84,3.87,32.62,648.4,-0.01,-0.1
2019-04-26T18:07:23.774+05:30,-14.5,-90.17,-34.5,-0.97,0,0,-2.02,0.08,0,3.87,-40,648.91,-0.04,-0.16
2019-04-26T17:53:04.946+05:30,44,-27.67,-55.33,0.87,0,0,0.07,0.24,30.84,3.86,32.61,648.32,0.07,-0.12
2019-04-26T18:07:24.772+05:30,-15.33,-90.67,-37.33,0.77,0,0,-2.06,0.08,0,3.87,-40,648.91,-0.04,-0.19
2019-04-26T17:53:05.947+05:30,44,-27.33,-56.17,0.78,0,0,0.03,0.24,30.84,3.87,32.61,648.35,0,-0.12
2019-04-26T18:07:25.771+05:30,-13.83,-91,-36.5,0.69,0,0,0.53,0.08,0,3.86,-40,648.91,-0.08,-0.22
2019-04-26T17:53:06.953+05:30,44.83,-26.83,-57,0.86,0,0,-2.15,0.24,30.84,3.94,32.61,648.32,0.07,-0.12
2019-04-26T18:07:26.770+05:30,-14.33,-93.17,-35.17,0.7,0,0,-2.08,0.08,0,3.86,-40,648.91,-0.08,-0.22
2019-04-26T17:53:07.992+05:30,45.17,-25.67,-56.67,-0.97,0,0,-2.27,0.24,30.84,3.87,32.61,648.42,0.08,-0.1
2019-04-26T18:07:27.770+05:30,-14.33,-91.5,-36.67,0.8,0,0,-2.18,0.08,0,3.86,-40,648.91,-0.03,-0.16
2019-04-26T17:53:09.034+05:30,45.67,-26.83,-58.17,0.8,0,0,0.15,0.24,30.84,3.88,32.61,648.32,0,-0.11
2019-04-26T18:07:28.781+05:30,-15,-89.5,-36.17,0.85,0,0,0.38,0.08,0,3.95,-40,648.91,-0.03,-0.16
2019-04-26T17:53:09.948+05:30,44.67,-26.67,-57.67,-0.97,0,0,-2.07,0.24,30.74,3.87,32.61,648.45,-0.01,-0.1
2019-04-26T18:07:29.781+05:30,-15,-91,-36.83,0.48,0,0,-2.01,0.08,0,3.87,-40,648.91,0.02,-0.17
2019-04-26T17:53:11.010+05:30,43.33,-28.67,-56.33,0.83,0,0,-2.05,0.24,30.74,3.86,32.61,648.35,0.07,-0.11
2019-04-26T18:07:30.770+05:30,-14.17,-91.33,-35.67,0.98,0,0,0.08,0.08,0,3.87,-40,648.91,-0.05,-0.2
2019-04-26T17:53:11.952+05:30,45.17,-27.33,-56.67,0.99,0,0,0.15,0.24,30.74,3.87,32.61,648.45,0.07,-0.12
2019-04-26T18:07:31.776+05:30,-12.33,-90.33,-35.17,0.97,0,0,-2.07,0.08,0,3.94,-40,648.91,-0.09,-0.21
2019-04-26T17:53:12.956+05:30,45,-26,-56.33,0.7,0,0,0.03,0.24,30.74,3.87,32.61,648.4,0.07,-0.11
2019-04-26T18:07:32.782+05:30,-13.33,-91,-36.5,0.67,0,0,-2.03,0.08,0,3.86,-40,648.91,-0.04,-0.21
2019-04-26T17:53:13.949+05:30,43.83,-26.67,-57.67,-1,0,0,-2.13,0.24,30.74,3.85,32.61,648.42,-0.02,-0.11
2019-04-26T18:07:33.773+05:30,-12.83,-90.83,-36.33,0.64,0,0,-2.09,0.08,0,3.86,-40,648.91,-0.09,-0.19
2019-04-26T17:53:15.057+05:30,44,-27.67,-57,0.68,0,0,-2.09,0.24,30.74,3.95,32.61,648.45,0.07,-0.11
2019-04-26T18:07:34.779+05:30,-14.33,-91.17,-36.33,0.66,0,0,-2.08,0.08,0,3.87,-40,648.91,-0.09,-0.17
2019-04-26T17:53:15.949+05:30,45.17,-26.83,-56.67,0.75,0,0,-2.21,0.24,30.74,3.85,32.61,648.4,0.08,-0.12
2019-04-26T18:07:35.785+05:30,-14.33,-88.83,-37.83,0.95,0,0,-2.02,0.08,0,3.85,-40,648.91,-0.08,-0.21
2019-04-26T17:53:16.949+05:30,45.67,-27.33,-54.17,0.72,0,0,-2.09,0.24,30.74,3.95,32.61,648.45,0,-0.1
2019-04-26T18:07:36.773+05:30,-13.33,-89,-36.17,0.91,0,0,-2.34,0.08,0,3.95,-40,648.91,-0.08,-0.16
2019-04-26T17:53:17.949+05:30,45.83,-28.17,-57.67,0.6,0,0,0.07,0.24,30.74,3.95,32.61,648.4,-0.01,-0.1
2019-04-26T18:07:37.774+05:30,-14.5,-92.5,-36.83,0.84,0,0,0.27,0.08,0,3.85,-40,648.91,-0.09,-0.2
2019-04-26T17:53:18.953+05:30,44.83,-26.17,-57,0.98,0,0,-2.01,0.24,30.74,3.9,32.61,648.45,-0.01,-0.12
2019-04-26T18:07:38.775+05:30,-15.33,-91.67,-35.67,0.54,0,0,-2.11,0.08,0,3.85,-40,648.91,-0.07,-0.22
2019-04-26T17:53:19.950+05:30,43.33,-27,-56.33,0.8,0,0,-2.02,0.24,30.74,3.86,32.61,648.35,0,-0.11
2019-04-26T18:07:39.772+05:30,-14.5,-92.17,-36.83,0.9,0,0,0.11,0.08,0,3.86,-40,648.91,-0.05,-0.12
2019-04-26T17:53:20.951+05:30,44.67,-26,-56.83,-0.95,0,0,0.06,0.24,30.74,3.85,32.59,648.42,0.07,-0.12
2019-04-26T18:07:40.783+05:30,-13.17,-89.33,-37.5,-0.78,0,0,0,0.08,0,3.87,-40,648.91,-0.09,-0.19
2019-04-26T17:53:21.951+05:30,44.33,-25.67,-57.33,0.91,0,0,0.08,0.24,30.74,3.95,32.61,648.27,-0.02,-0.19
2019-04-26T18:07:41.773+05:30,-15,-91.33,-35.67,0.88,0,0,-2.25,0.08,0,3.92,-40,648.91,-0.09,-0.13
2019-04-26T17:53:22.951+05:30,45.33,-26.67,-58,0.56,0,0,-2.09,0.24,30.74,3.87,32.61,648.4,0.07,-0.1
2019-04-26T18:07:42.773+05:30,-14.83,-90.83,-35.83,0.87,0,0,0.1,0.08,0,3.87,-40,648.91,-0.04,-0.22
2019-04-26T17:53:23.953+05:30,43.67,-26.5,-57,0.69,0,0,-2.05,0.24,30.74,3.87,32.61,648.27,-0.01,-0.11
2019-04-26T18:07:43.778+05:30,-16.17,-92.17,-36.5,0.89,0,0,0.16,0.08,0,3.95,-40,648.91,-0.04,-0.26
2019-04-26T17:53:24.952+05:30,44.17,-27,-56.83,0.8,0,0,-2.03,0.24,30.74,3.86,32.61,648.37,-0.03,-0.12
2019-04-26T18:07:44.774+05:30,-14,-90.33,-35.5,-0.95,0,0,0.21,0.08,0,3.85,-40,648.91,-0.15,-0.16
2019-04-26T17:53:25.953+05:30,43.83,-25.5,-56.83,0.83,0,0,-2.22,0.24,30.74,3.87,32.62,648.29,-0.01,-0.11
2019-04-26T18:07:45.785+05:30,-15,-92.17,-35.67,0.77,0,0,-2.03,0.08,0,3.87,-40,648.91,-0.09,-0.22
2019-04-26T17:53:26.954+05:30,44,-27.33,-57.33,0.93,0,0,0.04,0.24,30.74,3.86,32.62,648.27,0,-0.11
2019-04-26T18:07:46.776+05:30,-15.33,-90.17,-36.17,-0.81,0,0,-2.04,0.08,0,3.86,-40,648.91,0.01,-0.27
2019-04-26T17:53:27.963+05:30,43.33,-26,-56,-0.8,0,0,0.04,0.24,30.74,3.87,32.61,648.19,0.06,-0.11
2019-04-26T18:07:47.795+05:30,-14,-90.83,-37.17,0.53,0,0,0.02,0.08,0,3.95,-40,648.91,-0.09,-0.18
2019-04-26T17:53:28.961+05:30,45,-27,-57.17,0.75,0,0,-2.16,0.24,30.74,3.96,32.61,648.27,0.07,-0.11
2019-04-26T18:07:48.787+05:30,-14,-91.17,-37.17,0.93,0,0,-2.09,0.08,0,3.95,-40,648.91,-0.09,-0.22
2019-04-26T17:53:29.961+05:30,45.17,-26.5,-56.17,0.83,0,0,0.09,0.24,30.74,3.87,32.61,648.4,0.06,-0.11
2019-04-26T18:07:49.779+05:30,-15.33,-89.83,-36.5,0.31,0,0,-2.09,0.08,0,3.87,-40,648.91,-0.05,-0.16
2019-04-26T17:53:30.955+05:30,44,-27.33,-57,0.74,0,0,-2.13,0.24,30.74,3.86,32.61,648.4,0.08,-0.12
2019-04-26T18:07:50.804+05:30,-16,-90.83,-36.67,2.31,0,0,-2.46,0.08,0,3.85,-40,648.91,-0.13,-0.21
2019-04-26T17:53:31.952+05:30,44.83,-25.67,-55.83,0.72,0,0,0.16,0.24,30.74,3.86,32.61,648.27,0.06,-0.16
2019-04-26T18:07:51.800+05:30,-15,-90.17,-36.83,-0.96,0,0,-2.05,0.08,0,3.88,-40,648.91,-0.07,-0.32
2019-04-26T17:53:32.958+05:30,44,-26.17,-55.33,0.78,0,0,-2.08,0.24,30.74,3.94,32.61,648.27,-0.02,-0.11
2019-04-26T18:07:52.784+05:30,-14,-93.5,-35.17,0.59,0,0,0.01,0.08,0,3.86,-40,648.91,-0.08,-0.16
2019-04-26T17:53:33.953+05:30,43,-28.67,-57.67,0.67,0,0,-2.18,0.24,30.74,3.87,32.61,648.35,0.07,-0.12
2019-04-26T18:07:53.779+05:30,-15.33,-91,-36.17,0.89,0,0,0.13,0.08,0,3.9,-40,648.91,-0.09,-0.18
2019-04-26T17:53:34.953+05:30,45.17,-26.17,-56.67,0.61,0,0,0.1,0.24,30.74,3.84,32.61,648.37,0,-0.11
2019-04-26T18:07:54.804+05:30,-13.5,-91.17,-37.17,0.85,0,0,0.14,0.08,0,3.91,-40,648.91,-0.03,-0.22
2019-04-26T17:53:35.955+05:30,44.67,-26.67,-56,0.65,0,0,-2.02,0.24,30.74,3.86,32.62,648.37,0,-0.19
2019-04-26T18:07:55.779+05:30,-15,-93.33,-38.5,0.79,0,0,0.06,0.08,0,3.86,-40,648.91,0,-0.17
2019-04-26T17:53:36.959+05:30,46.17,-26.33,-56.33,0.85,0,0,0.04,0.24,30.74,3.94,32.61,648.4,0.06,-0.15
2019-04-26T18:07:56.857+05:30,-13.83,-90.67,-35.33,-0.85,0,0,-2.09,0.08,0,3.87,-40,648.91,-0.07,-0.18
2019-04-26T17:53:37.965+05:30,44.67,-27.83,-56,0.7,0,0,-2.08,0.24,30.74,3.87,32.59,648.37,0.07,-0.1
2019-04-26T17:53:38.953+05:30,45,-25.5,-55.67,0.71,0,0,-2.05,0.24,30.74,3.94,32.61,648.22,-0.01,-0.09
2019-04-26T17:53:39.953+05:30,44.33,-26.17,-55.83,0.58,0,0,-2.09,0.24,30.74,3.94,32.61,648.42,-0.02,-0.11
2019-04-26T18:07:59.169+05:30,-16,-90.33,-36.67,0.82,0,0,-2.24,0.08,0,3.96,-40,648.91,0,-0.11
2019-04-26T18:07:59.169+05:30,-13.33,-91.67,-36.17,0.8,0,0,0.14,0.08,0,3.87,-40,648.91,-0.04,-0.18
2019-04-26T18:07:59.790+05:30,-14.5,-91.33,-36.83,0.68,0,0,-2.05,0.08,0,3.86,-40,648.91,-0.08,-0.16
2019-04-26T17:53:40.953+05:30,43,-28.17,-57.67,0.75,0,0,0.1,0.24,30.74,3.87,32.62,648.35,0,-0.12
2019-04-26T18:08:00.880+05:30,-15,-91.67,-35.67,-0.98,0,0,0.05,0.08,0,3.86,-40,648.91,-0.03,-0.16
2019-04-26T17:53:41.958+05:30,44.83,-27.33,-58.17,0.58,0,0,-2.05,0.24,30.74,3.85,32.61,648.24,-0.01,-0.11
2019-04-26T18:08:01.795+05:30,-15.33,-91.33,-36.17,0.38,0,0,0.2,0.08,0,3.94,-40,648.91,0.03,-0.2
2019-04-26T17:53:42.953+05:30,43.83,-26.67,-56,0.72,0,0,0.04,0.24,30.74,3.85,32.61,648.35,0.07,-0.19
2019-04-26T18:08:02.874+05:30,-16.67,-90.33,-36.33,0.5,0,0,0.2,0.08,0,3.89,-40,648.91,0.05,-0.23
2019-04-26T17:53:43.952+05:30,45.17,-26.17,-57.83,-2.32,0,0,-0.98,0.24,30.74,3.87,32.61,648.37,0,-0.13
2019-04-26T18:08:03.779+05:30,-14.83,-90.33,-36.67,0.7,0,0,0.14,0.08,0,3.87,-40,648.91,-0.16,-0.21
2019-04-26T17:53:44.953+05:30,44.67,-26.67,-56.33,0.7,0,0,0.1,0.24,30.74,3.86,32.61,648.37,-0.01,-0.11
2019-04-26T18:08:04.894+05:30,-16.33,-90.83,-36.33,0.77,0,0,-2.02,0.08,0,3.86,-40,648.91,0,-0.19
2019-04-26T17:53:45.962+05:30,45.33,-26.67,-56,0.83,0,0,0.18,0.24,30.74,3.94,32.61,648.35,-0.01,-0.12
2019-04-26T18:08:05.787+05:30,-14.83,-90.83,-35.83,0.61,0,0,0.04,0.08,0,3.87,-40,648.91,-0.08,-0.16
2019-04-26T17:53:46.952+05:30,45,-27,-57.67,0.66,0,0,-2.18,0.24,30.74,3.87,32.61,648.4,0.07,-0.19
2019-04-26T18:08:06.788+05:30,-13.5,-89.67,-37.17,0.84,0,0,-2.05,0.08,0,3.85,-40,648.91,-0.06,-0.18
2019-04-26T17:53:47.953+05:30,45.33,-26.67,-55.17,0.73,0,0,0.08,0.24,30.84,3.86,32.59,648.37,0.07,-0.12
2019-04-26T18:08:07.780+05:30,-13.17,-92,-35.83,0.8,0,0,-2.01,0.08,0,3.85,-40,648.91,-0.09,-0.22
2019-04-26T17:53:48.952+05:30,44.33,-26.17,-56.67,0.66,0,0,0.2,0.24,30.84,3.95,32.61,648.32,-0.01,-0.11
2019-04-26T18:08:08.782+05:30,-13.33,-89.5,-35.33,-0.75,0,0,-2.06,0.08,0,3.89,-40,648.91,-0.06,-0.19
2019-04-26T17:53:49.964+05:30,44.83,-26.5,-58.17,0.45,0,0,-2.31,0.24,30.84,3.87,32.61,648.27,-0.01,-0.1
2019-04-26T18:08:09.780+05:30,-14.5,-91.33,-36.5,0.52,0,0,0.13,0.08,0,3.86,-40,648.91,-0.08,-0.16
2019-04-26T17:53:50.953+05:30,44.67,-26.33,-56.33,0.81,0,0,-2.17,0.24,30.84,3.87,32.61,648.37,0,-0.11
2019-04-26T18:08:10.789+05:30,-13.5,-91.17,-34.67,0.3,0,0,0.22,0.08,0,3.96,-40,648.91,-0.03,-0.12
2019-04-26T17:53:51.958+05:30,43.67,-27.33,-55.83,0.84,0,0,-2.19,0.24,30.84,3.88,32.61,648.32,0.06,-0.12
2019-04-26T18:08:11.800+05:30,-14.83,-92.33,-35.17,0.95,0,0,0.12,0.08,0,3.85,-40,648.91,-0.06,-0.18
2019-04-26T17:53:52.954+05:30,44.33,-26.83,-56.17,0.44,0,0,-2.06,0.24,30.84,3.95,32.61,648.32,0.07,-0.11
2019-04-26T18:08:12.782+05:30,-14.83,-90,-36.67,0.82,0,0,0.23,0.08,0,3.95,-40,648.91,-0.13,-0.19
2019-04-26T17:53:53.953+05:30,45.83,-27.5,-56.33,0.59,0,0,0.01,0.24,30.84,3.87,32.61,648.29,-0.01,-0.1
2019-04-26T18:08:13.785+05:30,-15,-91,-36.83,0.98,0,0,-2.03,0.08,0,3.87,-40,648.91,-0.11,-0.17
2019-04-26T17:53:54.962+05:30,43.83,-27.83,-56.83,0.85,0,0,-2.1,0.24,30.84,3.86,32.61,648.32,0,-0.11
2019-04-26T18:08:14.782+05:30,-14,-90.83,-35.17,0.55,0,0,0.15,0.08,0,3.86,-40,648.91,0,-0.26
2019-04-26T17:53:55.963+05:30,44.33,-27.67,-58.17,0.67,0,0,0.04,0.24,30.84,3.87,32.61,648.37,0,-0.11
2019-04-26T18:08:15.799+05:30,-15.33,-92.17,-37.67,-0.88,0,0,-2.35,0.08,0,3.85,-40,648.91,-0.09,-0.19
2019-04-26T17:53:56.953+05:30,44.83,-27.67,-57,0.58,0,0,0,0.24,30.84,3.87,32.61,648.4,0,-0.11
2019-04-26T18:08:16.788+05:30,-14.33,-91.17,-37.5,0.65,0,0,-2.09,0.08,0,3.85,-40,648.91,-0.07,-0.17
2019-04-26T17:53:57.953+05:30,45.83,-27,-58.83,0.84,0,0,0.08,0.24,30.84,3.87,32.61,648.22,-0.01,-0.1
2019-04-26T18:08:17.784+05:30,-14.17,-91,-36.83,0.01,0,0,0.46,0.08,0,3.9,-40,648.91,-0.13,-0.22
2019-04-26T17:53:58.953+05:30,45,-28.17,-58,0.91,0,0,0.02,0.24,30.84,3.95,32.61,648.27,0.06,-0.12
2019-04-26T18:08:18.789+05:30,-13.33,-91,-36.17,0.37,0,0,0.33,0.08,0,3.9,-40,648.91,0.02,-0.25
2019-04-26T18:08:19.782+05:30,-15.67,-91,-34.5,0.67,0,0,-2.22,0.08,0,3.89,-40,648.91,-0.09,-0.17
2019-04-26T18:08:20.788+05:30,-14,-90.83,-36.67,0.32,0,0,0.16,0.08,0,3.86,-40,648.91,-0.07,-0.16
2019-04-26T18:08:21.784+05:30,-15.5,-90.33,-36.67,0.62,0,0,-2.13,0.08,0,3.87,-40,648.91,-0.07,-0.16
2019-04-26T18:08:22.801+05:30,-13.5,-90,-35.5,0.46,0,0,0.5,0.08,0,3.91,-40,648.91,-0.08,-0.28
2019-04-26T18:08:23.800+05:30,-15.5,-91.17,-35.5,0.84,0,0,0.13,0.08,0,3.86,-40,648.91,-0.03,-0.26
2019-04-26T18:08:24.795+05:30,-12.83,-90.83,-35.83,-0.89,0,0,-2.02,0.08,0,3.94,-40,648.91,-0.07,-0.21
2019-04-26T18:08:25.793+05:30,-14.5,-90.17,-35.67,-0.86,0,0,-2.32,0.08,0,3.9,-40,648.91,-0.05,-0.18
2019-04-26T18:08:26.796+05:30,-14.83,-91.5,-35.5,0.83,0,0,0.2,0.08,0,3.96,-40,648.91,-0.07,-0.19
